feature_code,date_code,measurement,units,value,scottish_health_survey_indicator,sex,hb_name
S92000003,2016-2019,Percent,Percent Of Adults,63,Overweight: Overweight (including obese),Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,62,Overweight: Overweight (including obese),Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,7,E-cigarette use: Currently using,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,19,Alcohol consumption: Non-drinker,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,19,Self-assessed general health: Fair,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,7,E-cigarette use: Currently using,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,72,Self-assessed general health: Very good/Good,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,53,Long-term illness: No long-term illness,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,17,Smoking status: Current smoker,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,7,E-cigarette use: Currently using,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,7,E-cigarette use: Currently using,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,18,Smoking status: Current smoker,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,17,General health questionnaire (GHQ-12): Score 4+,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,21,Fruit & vegetable consumption: 5 portions or more,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,13,Long-term illness: Non-limiting long-term illness,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,31,Life satisfaction: Mode (8),All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,70,Obesity: Not obese,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,70,Obesity: Not obese,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,56,Smoking status: Never smoked/Used to smoke occasionally,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,59,General health questionnaire (GHQ-12): Score 0,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,51,Long-term illness: No long-term illness,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,52,Long-term illness: No long-term illness,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,58,Smoking status: Never smoked/Used to smoke occasionally,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,12,E-cigarette use: Ever previously used,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,11,E-cigarette use: Ever previously used,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,58,General health questionnaire (GHQ-12): Score 0,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,16,Alcohol consumption: Hazardous/Harmful drinker,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,16,Alcohol consumption: Hazardous/Harmful drinker,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,24,Fruit & vegetable consumption: 5 portions or more,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,65,Overweight: Overweight (including obese),All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,9,Fruit & vegetable consumption: None,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,19,Self-assessed general health: Fair,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,19,Alcohol consumption: Non-drinker,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,8,Self-assessed general health: Bad/Very bad,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,73,Self-assessed general health: Very good/Good,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,13,Long-term illness: Non-limiting long-term illness,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,19,Self-assessed general health: Fair,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,9,Fruit & vegetable consumption: None,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,65,Overweight: Overweight (including obese),All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,31,Life satisfaction: Mode (8),Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,12,"Provide any regular help or care for any sick, disabled or frail person: Yes",Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,69,Summary activity levels: Meets recommendations,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,84,Doctor-diagnosed asthma: No,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,34,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,19,Fruit & vegetable consumption: 5 portions or more,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,20,Fruit & vegetable consumption: 5 portions or more,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,31,Long-term illness: Limiting long-term illness,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,80,E-cigarette use: Never used,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,4,Summary activity levels: Low activity,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,80,E-cigarette use: Never used,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,23,Fruit & vegetable consumption: 5 portions or more,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,28,Obesity: Obese,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,18,Summary activity levels: Very low activity,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,18,Summary activity levels: Very low activity,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,13,E-cigarette use: Ever previously used,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,13,E-cigarette use: Ever previously used,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,70,Summary activity levels: Meets recommendations,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,12,Fruit & vegetable consumption: None,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,35,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,3,Summary activity levels: Low activity,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,68,Overweight: Overweight (including obese),Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,16,Doctor-diagnosed asthma: Yes,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,19,Self-assessed general health: Fair,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,68,Overweight: Overweight (including obese),Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,21,Smoking status: Current smoker,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,55,Smoking status: Never smoked/Used to smoke occasionally,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,53,Smoking status: Never smoked/Used to smoke occasionally,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,8,Self-assessed general health: Bad/Very bad,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,13,Fruit & vegetable consumption: None,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,8,Self-assessed general health: Bad/Very bad,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,20,Smoking status: Current smoker,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,24,General health questionnaire (GHQ-12): Score 1-3,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,25,Smoking status: Used to smoke regularly,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,30,Long-term illness: Limiting long-term illness,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,9,Summary activity levels: Some activity,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,24,General health questionnaire (GHQ-12): Score 1-3,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,25,Smoking status: Used to smoke regularly,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,9,Summary activity levels: Some activity,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,88,"Provide any regular help or care for any sick, disabled or frail person: No",Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,28,Obesity: Obese,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,8,E-cigarette use: Currently using,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,7,E-cigarette use: Currently using,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,73,Self-assessed general health: Very good/Good,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,13,Alcohol consumption: Non-drinker,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,71,Self-assessed general health: Very good/Good,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,14,Alcohol consumption: Non-drinker,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,19,Self-assessed general health: Fair,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,15,General health questionnaire (GHQ-12): Score 4+,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,4,Summary activity levels: Low activity,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,15,Any cardiovascular condition: Has a cardiovascular condition,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,23,Smoking status: Used to smoke regularly,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,60,Summary activity levels: Meets recommendations,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,54,Long-term illness: No long-term illness,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,15,Any cardiovascular condition: Has a cardiovascular condition,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,53,Alcohol consumption: Moderate drinker,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,72,Self-assessed general health: Very good/Good,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,60,Summary activity levels: Meets recommendations,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,54,Alcohol consumption: Moderate drinker,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,31,Life satisfaction: Mode (8),Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,23,Smoking status: Used to smoke regularly,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,73,Self-assessed general health: Very good/Good,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,61,General health questionnaire (GHQ-12): Score 0,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,36,Long-term illness: Limiting long-term illness,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,35,Long-term illness: Limiting long-term illness,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,72,Obesity: Not obese,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,72,Obesity: Not obese,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,26,General health questionnaire (GHQ-12): Score 1-3,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,61,General health questionnaire (GHQ-12): Score 0,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,15,General health questionnaire (GHQ-12): Score 4+,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,34,Alcohol consumption: Hazardous/Harmful drinker,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,32,Overweight: Not overweight or obese,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,33,Alcohol consumption: Hazardous/Harmful drinker,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,65,Alcohol consumption: Moderate drinker,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,65,Alcohol consumption: Moderate drinker,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,32,Overweight: Not overweight or obese,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,56,Long-term illness: No long-term illness,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,26,General health questionnaire (GHQ-12): Score 1-3,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,30,Obesity: Obese,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,56,Long-term illness: No long-term illness,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,19,General health questionnaire (GHQ-12): Score 4+,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,18,General health questionnaire (GHQ-12): Score 4+,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,30,Obesity: Obese,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,38,Overweight: Not overweight or obese,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,17,General health questionnaire (GHQ-12): Score 4+,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,24,Smoking status: Used to smoke regularly,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,37,Overweight: Not overweight or obese,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,56,General health questionnaire (GHQ-12): Score 0,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,35,Overweight: Not overweight or obese,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,82,E-cigarette use: Never used,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,10,Fruit & vegetable consumption: None,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,56,General health questionnaire (GHQ-12): Score 0,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,33,Long-term illness: Limiting long-term illness,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,81,E-cigarette use: Never used,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,32,Long-term illness: Limiting long-term illness,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,35,Overweight: Not overweight or obese,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,24,Smoking status: Used to smoke regularly,All,Scotland
S08000015,2016-2019,Percent,Percent Of Adults,78,E-cigarette use: Never used,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,55,Alcohol consumption: Moderate drinker,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,10,Long-term illness: Non-limiting long-term illness,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,20,Smoking status: Current smoker,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,22,Smoking status: Current smoker,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,15,Fruit & vegetable consumption: None,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,45,Long-term illness: No long-term illness,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,22,Any cardiovascular condition: Has a cardiovascular condition,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,10,E-cigarette use: Currently using,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,44,Long-term illness: No long-term illness,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,26,Summary activity levels: Very low activity,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,30,Obesity: Obese,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,21,Any cardiovascular condition: Has a cardiovascular condition,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,72,Fruit & vegetable consumption: Less than 5 portions,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,27,Overweight: Not overweight or obese,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,35,Alcohol consumption: Hazardous/Harmful drinker,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,3,Summary activity levels: Low activity,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,3,Summary activity levels: Low activity,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,78,E-cigarette use: Never used,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,10,Long-term illness: Non-limiting long-term illness,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,26,Summary activity levels: Very low activity,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,31,Obesity: Obese,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,36,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,13,Fruit & vegetable consumption: 5 portions or more,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,58,Summary activity levels: Meets recommendations,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,20,Self-assessed general health: Fair,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,10,E-cigarette use: Currently using,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,13,Fruit & vegetable consumption: None,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,70,Obesity: Not obese,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,18,General health questionnaire (GHQ-12): Score 4+,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,59,Summary activity levels: Meets recommendations,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,61,General health questionnaire (GHQ-12): Score 0,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,69,Self-assessed general health: Very good/Good,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,17,General health questionnaire (GHQ-12): Score 4+,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,11,Self-assessed general health: Bad/Very bad,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,10,Long-term illness: Non-limiting long-term illness,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,25,Life satisfaction: Mode (8),All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,29,Overweight: Not overweight or obese,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,10,E-cigarette use: Currently using,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,30,Overweight: Not overweight or obese,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,62,General health questionnaire (GHQ-12): Score 0,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,69,Obesity: Not obese,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,78,Any cardiovascular condition: No cardiovascular condition,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,46,Long-term illness: Limiting long-term illness,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,40,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,16,"Provide any regular help or care for any sick, disabled or frail person: Yes",All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,24,Alcohol consumption: Hazardous/Harmful drinker,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,20,Any cardiovascular condition: Has a cardiovascular condition,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,72,Fruit & vegetable consumption: Less than 5 portions,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,13,Doctor-diagnosed asthma: Yes,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,20,Alcohol consumption: Non-drinker,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,87,Doctor-diagnosed asthma: No,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,45,Long-term illness: Limiting long-term illness,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,25,Alcohol consumption: Hazardous/Harmful drinker,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,10,Summary activity levels: Some activity,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,56,Alcohol consumption: Moderate drinker,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,33,Obesity: Obese,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,28,Summary activity levels: Very low activity,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,15,Fruit & vegetable consumption: 5 portions or more,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,45,Long-term illness: No long-term illness,All,Ayrshire and Arran
