FeatureCode,DateCode,Measurement,Units,Value,Gender,Weight Category
S92000003,2005/2006,Ratio,Percent Of P1 Children,1.34,Female,Epidemiological - Underweight
S08000019,2016/2017,Ratio,Percent Of P1 Children,0.5,All,Epidemiological - Underweight
S08000025,2014/2015,Ratio,Percent Of P1 Children,0.00,All,Epidemiological - Underweight
S08000022,2015/2016,Ratio,Percent Of P1 Children,1.19,Male,Epidemiological - Underweight
S08000017,2005/2006,Ratio,Percent Of P1 Children,0.77,Female,Epidemiological - Underweight
S08000017,2006/2007,Ratio,Percent Of P1 Children,0.88,Female,Epidemiological - Underweight
S08000026,2013/2014,Ratio,Percent Of P1 Children,0.78,Female,Epidemiological - Underweight
S08000029,2007/2008,Ratio,Percent Of P1 Children,0.41,Female,Epidemiological - Underweight
S08000016,2015/2016,Ratio,Percent Of P1 Children,0.89,Male,Epidemiological - Underweight
S08000026,2017/2018,Ratio,Percent Of P1 Children,0.00,Male,Epidemiological - Underweight
S08000017,2017/2018,Ratio,Percent Of P1 Children,1.02,Male,Epidemiological - Underweight
S08000020,2011/2012,Ratio,Percent Of P1 Children,0.83,Female,Epidemiological - Underweight
S08000031,2010/2011,Ratio,Percent Of P1 Children,1.63,Female,Epidemiological - Underweight
S92000003,2001/2002,Ratio,Percent Of P1 Children,1.92,Male,Epidemiological - Underweight
S08000030,2016/2017,Ratio,Percent Of P1 Children,0.59,All,Epidemiological - Underweight
S92000003,2014/2015,Ratio,Percent Of P1 Children,1.44,Male,Epidemiological - Underweight
S08000029,2009/2010,Ratio,Percent Of P1 Children,0.39,Female,Epidemiological - Underweight
S92000003,2006/2007,Ratio,Percent Of P1 Children,1.24,Female,Epidemiological - Underweight
S08000015,2015/2016,Ratio,Percent Of P1 Children,1.42,Male,Epidemiological - Underweight
S08000020,2014/2015,Ratio,Percent Of P1 Children,0.53,Female,Epidemiological - Underweight
S08000028,2016/2017,Ratio,Percent Of P1 Children,0.42,All,Epidemiological - Underweight
S08000019,2011/2012,Ratio,Percent Of P1 Children,0.67,Female,Epidemiological - Underweight
S08000030,2004/2005,Ratio,Percent Of P1 Children,1.56,Male,Epidemiological - Underweight
S08000029,2016/2017,Ratio,Percent Of P1 Children,0.74,Female,Epidemiological - Underweight
S08000031,2008/2009,Ratio,Percent Of P1 Children,2.39,All,Epidemiological - Underweight
S08000019,2016/2017,Ratio,Percent Of P1 Children,0.32,Female,Epidemiological - Underweight
S08000022,2016/2017,Ratio,Percent Of P1 Children,0.43,Female,Epidemiological - Underweight
S08000028,2003/2004,Ratio,Percent Of P1 Children,0.00,Male,Epidemiological - Underweight
S08000019,2017/2018,Ratio,Percent Of P1 Children,1.8,Male,Epidemiological - Underweight
S08000016,2005/2006,Ratio,Percent Of P1 Children,0.96,Female,Epidemiological - Underweight
S08000028,2004/2005,Ratio,Percent Of P1 Children,0.00,Male,Epidemiological - Underweight
S92000003,2016/2017,Ratio,Percent Of P1 Children,0.67,Female,Epidemiological - Underweight
S08000030,2008/2009,Ratio,Percent Of P1 Children,1.7,All,Epidemiological - Underweight
S08000029,2014/2015,Ratio,Percent Of P1 Children,0.81,All,Epidemiological - Underweight
S92000003,2013/2014,Ratio,Percent Of P1 Children,0.74,Female,Epidemiological - Underweight
S08000024,2018/2019,Ratio,Percent Of P1 Children,1.39,Male,Epidemiological - Underweight
S08000028,2014/2015,Ratio,Percent Of P1 Children,2,Female,Epidemiological - Underweight
S08000020,2009/2010,Ratio,Percent Of P1 Children,1.48,All,Epidemiological - Underweight
S08000031,2013/2014,Ratio,Percent Of P1 Children,1.22,All,Epidemiological - Underweight
S08000025,2014/2015,Ratio,Percent Of P1 Children,0.00,Female,Epidemiological - Underweight
S08000020,2011/2012,Ratio,Percent Of P1 Children,1.2,All,Epidemiological - Underweight
S08000031,2007/2008,Ratio,Percent Of P1 Children,3.64,All,Epidemiological - Underweight
S08000031,2012/2013,Ratio,Percent Of P1 Children,1.22,All,Epidemiological - Underweight
S08000030,2017/2018,Ratio,Percent Of P1 Children,1.35,Male,Epidemiological - Underweight
S08000030,2016/2017,Ratio,Percent Of P1 Children,0.19,Female,Epidemiological - Underweight
S08000024,2017/2018,Ratio,Percent Of P1 Children,1.3,Male,Epidemiological - Underweight
S08000031,2009/2010,Ratio,Percent Of P1 Children,1.18,Female,Epidemiological - Underweight
S08000025,2012/2013,Ratio,Percent Of P1 Children,1.43,All,Epidemiological - Underweight
S08000030,2003/2004,Ratio,Percent Of P1 Children,1.89,Male,Epidemiological - Underweight
S08000031,2007/2008,Ratio,Percent Of P1 Children,3.23,Female,Epidemiological - Underweight
S08000024,2013/2014,Ratio,Percent Of P1 Children,0.52,Female,Epidemiological - Underweight
S92000003,2002/2003,Ratio,Percent Of P1 Children,2.06,Male,Epidemiological - Underweight
S08000020,2016/2017,Ratio,Percent Of P1 Children,0.63,All,Epidemiological - Underweight
S08000017,2016/2017,Ratio,Percent Of P1 Children,0.53,All,Epidemiological - Underweight
S08000026,2016/2017,Ratio,Percent Of P1 Children,0.4,All,Epidemiological - Underweight
S08000030,2002/2003,Ratio,Percent Of P1 Children,1.94,Male,Epidemiological - Underweight
S92000003,2003/2004,Ratio,Percent Of P1 Children,2.11,Male,Epidemiological - Underweight
S92000003,2007/2008,Ratio,Percent Of P1 Children,1.47,Female,Epidemiological - Underweight
S08000026,2010/2011,Ratio,Percent Of P1 Children,0.85,Female,Epidemiological - Underweight
S08000029,2015/2016,Ratio,Percent Of P1 Children,0.79,All,Epidemiological - Underweight
S08000024,2004/2005,Ratio,Percent Of P1 Children,1.75,Male,Epidemiological - Underweight
S08000028,2010/2011,Ratio,Percent Of P1 Children,2.29,Female,Epidemiological - Underweight
S08000031,2009/2010,Ratio,Percent Of P1 Children,1.51,All,Epidemiological - Underweight
S08000019,2007/2008,Ratio,Percent Of P1 Children,1.51,Female,Epidemiological - Underweight
S08000030,2007/2008,Ratio,Percent Of P1 Children,1.82,All,Epidemiological - Underweight
S08000031,2008/2009,Ratio,Percent Of P1 Children,2.16,Female,Epidemiological - Underweight
S08000026,2016/2017,Ratio,Percent Of P1 Children,0.00,Female,Epidemiological - Underweight
S08000025,2013/2014,Ratio,Percent Of P1 Children,1.08,Female,Epidemiological - Underweight
S08000024,2003/2004,Ratio,Percent Of P1 Children,2.39,Male,Epidemiological - Underweight
S08000022,2012/2013,Ratio,Percent Of P1 Children,0.97,Male,Epidemiological - Underweight
S08000024,2010/2011,Ratio,Percent Of P1 Children,2.49,Male,Epidemiological - Underweight
S08000028,2012/2013,Ratio,Percent Of P1 Children,1.98,All,Epidemiological - Underweight
S08000019,2013/2014,Ratio,Percent Of P1 Children,1.03,Male,Epidemiological - Underweight
S08000028,2010/2011,Ratio,Percent Of P1 Children,2.01,All,Epidemiological - Underweight
S08000024,2004/2005,Ratio,Percent Of P1 Children,1.32,All,Epidemiological - Underweight
S92000003,2011/2012,Ratio,Percent Of P1 Children,1.25,All,Epidemiological - Underweight
S08000028,2009/2010,Ratio,Percent Of P1 Children,3.96,Male,Epidemiological - Underweight
S08000028,2011/2012,Ratio,Percent Of P1 Children,1.43,All,Epidemiological - Underweight
S08000019,2009/2010,Ratio,Percent Of P1 Children,1.08,Male,Epidemiological - Underweight
S08000015,2010/2011,Ratio,Percent Of P1 Children,1.17,Male,Epidemiological - Underweight
S08000019,2014/2015,Ratio,Percent Of P1 Children,0.95,Male,Epidemiological - Underweight
S08000015,2007/2008,Ratio,Percent Of P1 Children,1.7,All,Epidemiological - Underweight
S08000024,2013/2014,Ratio,Percent Of P1 Children,0.94,Male,Epidemiological - Underweight
S08000022,2014/2015,Ratio,Percent Of P1 Children,0.7,Male,Epidemiological - Underweight
S08000022,2010/2011,Ratio,Percent Of P1 Children,1.01,Male,Epidemiological - Underweight
S08000015,2010/2011,Ratio,Percent Of P1 Children,1.16,All,Epidemiological - Underweight
S08000028,2008/2009,Ratio,Percent Of P1 Children,2.89,All,Epidemiological - Underweight
S08000020,2013/2014,Ratio,Percent Of P1 Children,0.87,Male,Epidemiological - Underweight
S08000016,2007/2008,Ratio,Percent Of P1 Children,1.08,Male,Epidemiological - Underweight
S92000003,2008/2009,Ratio,Percent Of P1 Children,1.79,All,Epidemiological - Underweight
S08000017,2018/2019,Ratio,Percent Of P1 Children,0.7,All,Epidemiological - Underweight
S08000024,2014/2015,Ratio,Percent Of P1 Children,1.23,Male,Epidemiological - Underweight
S08000015,2009/2010,Ratio,Percent Of P1 Children,2.04,Male,Epidemiological - Underweight
S08000016,2004/2005,Ratio,Percent Of P1 Children,1.07,Male,Epidemiological - Underweight
S08000025,2014/2015,Ratio,Percent Of P1 Children,0.00,Male,Epidemiological - Underweight
S08000024,2018/2019,Ratio,Percent Of P1 Children,1.06,All,Epidemiological - Underweight
S08000015,2017/2018,Ratio,Percent Of P1 Children,1.66,Male,Epidemiological - Underweight
S08000032,2006/2007,Ratio,Percent Of P1 Children,3.13,Male,Epidemiological - Underweight
S08000028,2009/2010,Ratio,Percent Of P1 Children,2.59,All,Epidemiological - Underweight
S08000028,2013/2014,Ratio,Percent Of P1 Children,1.49,All,Epidemiological - Underweight
S08000028,2017/2018,Ratio,Percent Of P1 Children,0.39,All,Epidemiological - Underweight
S08000024,2001/2002,Ratio,Percent Of P1 Children,1.51,All,Epidemiological - Underweight
S08000016,2012/2013,Ratio,Percent Of P1 Children,0.35,All,Epidemiological - Underweight
S08000019,2007/2008,Ratio,Percent Of P1 Children,1.4,Male,Epidemiological - Underweight
S08000028,2018/2019,Ratio,Percent Of P1 Children,0.97,All,Epidemiological - Underweight
S08000024,2003/2004,Ratio,Percent Of P1 Children,1.82,All,Epidemiological - Underweight
S08000016,2014/2015,Ratio,Percent Of P1 Children,1.42,Male,Epidemiological - Underweight
S08000015,2007/2008,Ratio,Percent Of P1 Children,2.05,Male,Epidemiological - Underweight
S08000025,2012/2013,Ratio,Percent Of P1 Children,2.11,Male,Epidemiological - Underweight
S92000003,2018/2019,Ratio,Percent Of P1 Children,0.98,All,Epidemiological - Underweight
S08000026,2018/2019,Ratio,Percent Of P1 Children,0.44,All,Epidemiological - Underweight
S08000016,2001/2002,Ratio,Percent Of P1 Children,1.22,Male,Epidemiological - Underweight
S08000028,2014/2015,Ratio,Percent Of P1 Children,1.42,All,Epidemiological - Underweight
S92000003,2010/2011,Ratio,Percent Of P1 Children,1.81,All,Epidemiological - Underweight
S08000022,2011/2012,Ratio,Percent Of P1 Children,0.91,Male,Epidemiological - Underweight
S08000030,2017/2018,Ratio,Percent Of P1 Children,0.97,All,Epidemiological - Underweight
S08000030,2002/2003,Ratio,Percent Of P1 Children,1.45,All,Epidemiological - Underweight
S08000017,2007/2008,Ratio,Percent Of P1 Children,0.52,All,Epidemiological - Underweight
S08000024,2012/2013,Ratio,Percent Of P1 Children,1.36,Male,Epidemiological - Underweight
S92000003,2007/2008,Ratio,Percent Of P1 Children,1.69,All,Epidemiological - Underweight
S08000016,2010/2011,Ratio,Percent Of P1 Children,1.26,Male,Epidemiological - Underweight
S08000032,2018/2019,Ratio,Percent Of P1 Children,1.5,All,Epidemiological - Underweight
S08000016,2008/2009,Ratio,Percent Of P1 Children,0.73,Male,Epidemiological - Underweight
S08000015,2009/2010,Ratio,Percent Of P1 Children,1.65,All,Epidemiological - Underweight
S08000019,2012/2013,Ratio,Percent Of P1 Children,0.78,Male,Epidemiological - Underweight
S08000020,2018/2019,Ratio,Percent Of P1 Children,0.72,All,Epidemiological - Underweight
S08000025,2018/2019,Ratio,Percent Of P1 Children,0.00,All,Epidemiological - Underweight
S08000020,2011/2012,Ratio,Percent Of P1 Children,1.56,Male,Epidemiological - Underweight
S08000030,2004/2005,Ratio,Percent Of P1 Children,1.29,All,Epidemiological - Underweight
S08000016,2012/2013,Ratio,Percent Of P1 Children,0.36,Male,Epidemiological - Underweight
S08000020,2012/2013,Ratio,Percent Of P1 Children,1.15,Male,Epidemiological - Underweight
S08000022,2018/2019,Ratio,Percent Of P1 Children,0.62,All,Epidemiological - Underweight
S08000017,2008/2009,Ratio,Percent Of P1 Children,1.45,All,Epidemiological - Underweight
S08000019,2011/2012,Ratio,Percent Of P1 Children,0.73,Male,Epidemiological - Underweight
S08000028,2003/2004,Ratio,Percent Of P1 Children,0.56,All,Epidemiological - Underweight
S08000016,2011/2012,Ratio,Percent Of P1 Children,0.51,Male,Epidemiological - Underweight
S08000016,2013/2014,Ratio,Percent Of P1 Children,0.55,Male,Epidemiological - Underweight
S08000019,2012/2013,Ratio,Percent Of P1 Children,0.6,All,Epidemiological - Underweight
S08000020,2010/2011,Ratio,Percent Of P1 Children,2.08,Male,Epidemiological - Underweight
S08000017,2009/2010,Ratio,Percent Of P1 Children,0.21,All,Epidemiological - Underweight
S08000016,2009/2010,Ratio,Percent Of P1 Children,1.72,Male,Epidemiological - Underweight
S08000016,2018/2019,Ratio,Percent Of P1 Children,0.41,All,Epidemiological - Underweight
S08000016,2009/2010,Ratio,Percent Of P1 Children,1.31,All,Epidemiological - Underweight
S08000024,2007/2008,Ratio,Percent Of P1 Children,1.45,Male,Epidemiological - Underweight
S92000003,2009/2010,Ratio,Percent Of P1 Children,1.51,All,Epidemiological - Underweight
S08000024,2009/2010,Ratio,Percent Of P1 Children,2.06,Male,Epidemiological - Underweight
S08000017,2011/2012,Ratio,Percent Of P1 Children,0.75,All,Epidemiological - Underweight
S08000016,2011/2012,Ratio,Percent Of P1 Children,0.35,All,Epidemiological - Underweight
S08000022,2008/2009,Ratio,Percent Of P1 Children,1.05,Male,Epidemiological - Underweight
S08000015,2012/2013,Ratio,Percent Of P1 Children,1.74,Male,Epidemiological - Underweight
S08000019,2017/2018,Ratio,Percent Of P1 Children,1.25,All,Epidemiological - Underweight
S08000028,2007/2008,Ratio,Percent Of P1 Children,1.9,Male,Epidemiological - Underweight
S08000031,2018/2019,Ratio,Percent Of P1 Children,0.82,All,Epidemiological - Underweight
S08000024,2002/2003,Ratio,Percent Of P1 Children,1.89,All,Epidemiological - Underweight
S08000015,2013/2014,Ratio,Percent Of P1 Children,1.63,Male,Epidemiological - Underweight
S08000020,2009/2010,Ratio,Percent Of P1 Children,1.81,Male,Epidemiological - Underweight
S08000024,2011/2012,Ratio,Percent Of P1 Children,1.41,Male,Epidemiological - Underweight
S08000019,2010/2011,Ratio,Percent Of P1 Children,0.74,Male,Epidemiological - Underweight
S92000003,2012/2013,Ratio,Percent Of P1 Children,1.16,All,Epidemiological - Underweight
S08000029,2018/2019,Ratio,Percent Of P1 Children,1.01,All,Epidemiological - Underweight
S08000017,2010/2011,Ratio,Percent Of P1 Children,0.28,All,Epidemiological - Underweight
S08000028,2004/2005,Ratio,Percent Of P1 Children,0.00,All,Epidemiological - Underweight
S08000024,2017/2018,Ratio,Percent Of P1 Children,1.12,All,Epidemiological - Underweight
S08000020,2014/2015,Ratio,Percent Of P1 Children,1.3,Male,Epidemiological - Underweight
S08000015,2014/2015,Ratio,Percent Of P1 Children,1.73,Male,Epidemiological - Underweight
S08000032,2009/2010,Ratio,Percent Of P1 Children,2.1,Female,Epidemiological - Underweight
S92000003,2001/2002,Ratio,Percent Of P1 Children,1.68,All,Epidemiological - Underweight
S08000031,2013/2014,Ratio,Percent Of P1 Children,1.68,Male,Epidemiological - Underweight
S08000031,2009/2010,Ratio,Percent Of P1 Children,1.84,Male,Epidemiological - Underweight
S08000019,2013/2014,Ratio,Percent Of P1 Children,0.7,All,Epidemiological - Underweight
S08000025,2015/2016,Ratio,Percent Of P1 Children,0.00,Female,Epidemiological - Underweight
S08000017,2008/2009,Ratio,Percent Of P1 Children,0.88,Female,Epidemiological - Underweight
S08000032,2004/2005,Ratio,Percent Of P1 Children,2.4,All,Epidemiological - Underweight
S08000032,2002/2003,Ratio,Percent Of P1 Children,2.28,All,Epidemiological - Underweight
S08000031,2013/2014,Ratio,Percent Of P1 Children,0.76,Female,Epidemiological - Underweight
S08000032,2003/2004,Ratio,Percent Of P1 Children,2.26,All,Epidemiological - Underweight
S08000020,2015/2016,Ratio,Percent Of P1 Children,0.99,Female,Epidemiological - Underweight
S08000022,2012/2013,Ratio,Percent Of P1 Children,0.8,Female,Epidemiological - Underweight
S08000029,2003/2004,Ratio,Percent Of P1 Children,1.01,Male,Epidemiological - Underweight
S92000003,2002/2003,Ratio,Percent Of P1 Children,1.71,All,Epidemiological - Underweight
S08000022,2009/2010,Ratio,Percent Of P1 Children,0.58,Male,Epidemiological - Underweight
S08000029,2004/2005,Ratio,Percent Of P1 Children,1.24,Male,Epidemiological - Underweight
