feature_code,date_code,measurement,units,value,life_satisfaction_level,sex,hb_name
S08000025,2016-2019,Percent,Percent Of Adults,44,Above the mode (9 to 10-Extremely satisfied),All,Orkney
S08000025,2016-2019,Percent,Percent Of Adults,45,Above the mode (9 to 10-Extremely satisfied),Male,Orkney
S08000025,2016-2019,Percent,Percent Of Adults,24,Below the mode (0-Extremely dissatisfied to 7),All,Orkney
S08000025,2016-2019,Percent,Percent Of Adults,33,Mode (8),Female,Orkney
S08000026,2016-2019,Percent,Percent Of Adults,34,Mode (8),Male,Shetland
S08000026,2016-2019,Percent,Percent Of Adults,25,Below the mode (0-Extremely dissatisfied to 7),All,Shetland
S08000026,2016-2019,Percent,Percent Of Adults,38,Above the mode (9 to 10-Extremely satisfied),All,Shetland
S08000026,2016-2019,Percent,Percent Of Adults,39,Above the mode (9 to 10-Extremely satisfied),Female,Shetland
S08000026,2016-2019,Percent,Percent Of Adults,21,Below the mode (0-Extremely dissatisfied to 7),Female,Shetland
S08000026,2016-2019,Percent,Percent Of Adults,37,Mode (8),All,Shetland
S08000026,2016-2019,Percent,Percent Of Adults,29,Below the mode (0-Extremely dissatisfied to 7),Male,Shetland
S08000026,2016-2019,Percent,Percent Of Adults,40,Mode (8),Female,Shetland
S08000026,2016-2019,Percent,Percent Of Adults,37,Above the mode (9 to 10-Extremely satisfied),Male,Shetland
S08000028,2016-2019,Percent,Percent Of Adults,44,Above the mode (9 to 10-Extremely satisfied),All,Western Isles
S08000028,2016-2019,Percent,Percent Of Adults,34,Mode (8),All,Western Isles
S08000028,2016-2019,Percent,Percent Of Adults,32,Mode (8),Female,Western Isles
S08000028,2016-2019,Percent,Percent Of Adults,36,Mode (8),Male,Western Isles
S08000028,2016-2019,Percent,Percent Of Adults,42,Above the mode (9 to 10-Extremely satisfied),Male,Western Isles
S08000028,2016-2019,Percent,Percent Of Adults,22,Below the mode (0-Extremely dissatisfied to 7),All,Western Isles
S08000028,2016-2019,Percent,Percent Of Adults,22,Below the mode (0-Extremely dissatisfied to 7),Female,Western Isles
S08000028,2016-2019,Percent,Percent Of Adults,46,Above the mode (9 to 10-Extremely satisfied),Female,Western Isles
S08000028,2016-2019,Percent,Percent Of Adults,23,Below the mode (0-Extremely dissatisfied to 7),Male,Western Isles
S08000029,2016-2019,Percent,Percent Of Adults,28,Mode (8),Male,Fife
S08000029,2016-2019,Percent,Percent Of Adults,35,Below the mode (0-Extremely dissatisfied to 7),Female,Fife
S08000029,2016-2019,Percent,Percent Of Adults,29,Mode (8),All,Fife
S08000029,2016-2019,Percent,Percent Of Adults,32,Below the mode (0-Extremely dissatisfied to 7),Male,Fife
S08000029,2016-2019,Percent,Percent Of Adults,40,Above the mode (9 to 10-Extremely satisfied),Male,Fife
S08000029,2016-2019,Percent,Percent Of Adults,36,Above the mode (9 to 10-Extremely satisfied),Female,Fife
S08000029,2016-2019,Percent,Percent Of Adults,33,Below the mode (0-Extremely dissatisfied to 7),All,Fife
S08000029,2016-2019,Percent,Percent Of Adults,29,Mode (8),Female,Fife
S08000029,2016-2019,Percent,Percent Of Adults,38,Above the mode (9 to 10-Extremely satisfied),All,Fife
S08000030,2016-2019,Percent,Percent Of Adults,31,Below the mode (0-Extremely dissatisfied to 7),Male,Tayside
S08000030,2016-2019,Percent,Percent Of Adults,34,Mode (8),All,Tayside
S08000030,2016-2019,Percent,Percent Of Adults,30,Below the mode (0-Extremely dissatisfied to 7),All,Tayside
S08000030,2016-2019,Percent,Percent Of Adults,29,Below the mode (0-Extremely dissatisfied to 7),Female,Tayside
S08000030,2016-2019,Percent,Percent Of Adults,32,Mode (8),Female,Tayside
S08000030,2016-2019,Percent,Percent Of Adults,36,Above the mode (9 to 10-Extremely satisfied),All,Tayside
S08000030,2016-2019,Percent,Percent Of Adults,33,Above the mode (9 to 10-Extremely satisfied),Male,Tayside
S08000030,2016-2019,Percent,Percent Of Adults,36,Mode (8),Male,Tayside
S08000030,2016-2019,Percent,Percent Of Adults,39,Above the mode (9 to 10-Extremely satisfied),Female,Tayside
S08000031,2016-2019,Percent,Percent Of Adults,38,Below the mode (0-Extremely dissatisfied to 7),Male,Greater Glasgow and Clyde
S08000031,2016-2019,Percent,Percent Of Adults,28,Mode (8),Female,Greater Glasgow and Clyde
S08000031,2016-2019,Percent,Percent Of Adults,30,Mode (8),All,Greater Glasgow and Clyde
S08000031,2016-2019,Percent,Percent Of Adults,32,Above the mode (9 to 10-Extremely satisfied),Female,Greater Glasgow and Clyde
S08000031,2016-2019,Percent,Percent Of Adults,39,Below the mode (0-Extremely dissatisfied to 7),All,Greater Glasgow and Clyde
S08000031,2016-2019,Percent,Percent Of Adults,31,Above the mode (9 to 10-Extremely satisfied),All,Greater Glasgow and Clyde
S08000031,2016-2019,Percent,Percent Of Adults,32,Mode (8),Male,Greater Glasgow and Clyde
S08000031,2016-2019,Percent,Percent Of Adults,40,Below the mode (0-Extremely dissatisfied to 7),Female,Greater Glasgow and Clyde
S08000031,2016-2019,Percent,Percent Of Adults,31,Above the mode (9 to 10-Extremely satisfied),Male,Greater Glasgow and Clyde
S08000032,2016-2019,Percent,Percent Of Adults,26,Above the mode (9 to 10-Extremely satisfied),Male,Lanarkshire
S08000032,2016-2019,Percent,Percent Of Adults,32,Mode (8),All,Lanarkshire
S08000032,2016-2019,Percent,Percent Of Adults,43,Below the mode (0-Extremely dissatisfied to 7),Male,Lanarkshire
S08000032,2016-2019,Percent,Percent Of Adults,29,Above the mode (9 to 10-Extremely satisfied),All,Lanarkshire
S08000032,2016-2019,Percent,Percent Of Adults,32,Mode (8),Female,Lanarkshire
S08000032,2016-2019,Percent,Percent Of Adults,40,Below the mode (0-Extremely dissatisfied to 7),All,Lanarkshire
S08000032,2016-2019,Percent,Percent Of Adults,37,Below the mode (0-Extremely dissatisfied to 7),Female,Lanarkshire
S08000032,2016-2019,Percent,Percent Of Adults,31,Above the mode (9 to 10-Extremely satisfied),Female,Lanarkshire
S08000032,2016-2019,Percent,Percent Of Adults,31,Mode (8),Male,Lanarkshire
