feature_code,date_code,measurement,units,value,hb_name
S08000019,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,66.2,Forth Valley
S08000019,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,66.1,Forth Valley
S08000019,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,55.9,Forth Valley
S08000019,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,45.5,Forth Valley
S08000019,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,68.1,Forth Valley
S08000020,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,73.2,Grampian
S08000020,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,67.9,Grampian
S08000020,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,70.2,Grampian
S08000020,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,76.2,Grampian
S08000020,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,68.5,Grampian
S08000020,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,56.9,Grampian
S08000020,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,55.5,Grampian
S08000020,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,48.9,Grampian
S08000020,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,58.6,Grampian
S08000022,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,73,Highland
S08000022,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,71.9,Highland
S08000022,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,63.7,Highland
S08000022,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,60.3,Highland
S08000022,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,70.1,Highland
S08000022,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,70.2,Highland
S08000022,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,52.5,Highland
S08000022,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,47.7,Highland
S08000022,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,56,Highland
S08000024,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,57.1,Lothian
S08000024,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,55.2,Lothian
S08000024,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,68.6,Lothian
S08000024,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,70.3,Lothian
S08000024,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,46.3,Lothian
S08000024,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,49.8,Lothian
S08000024,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,68.9,Lothian
S08000024,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,71.1,Lothian
S08000024,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,70.1,Lothian
S08000025,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,65,Orkney
S08000025,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,72,Orkney
S08000025,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,78.7,Orkney
S08000025,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,57,Orkney
S08000025,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,50.3,Orkney
S08000025,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,66.7,Orkney
S08000025,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,79.1,Orkney
S08000025,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,45.7,Orkney
S08000025,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,83.6,Orkney
S08000026,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,81.9,Shetland
S08000026,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,79.4,Shetland
S08000026,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,71.9,Shetland
S08000026,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,62.7,Shetland
S08000026,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,80.9,Shetland
S08000026,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,74.7,Shetland
S08000026,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,60.8,Shetland
S08000026,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,51.6,Shetland
S08000026,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,59.7,Shetland
S08000028,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,79,Western Isles
S08000028,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,35.6,Western Isles
S08000028,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,57.7,Western Isles
S08000028,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,53.9,Western Isles
S08000028,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,41.8,Western Isles
S08000028,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,71.7,Western Isles
S08000028,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,79.1,Western Isles
S08000028,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,56.3,Western Isles
S08000028,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,62,Western Isles
S08000029,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,70.8,Fife
S08000029,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,67.2,Fife
S08000029,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,68.2,Fife
S08000029,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,54.3,Fife
S08000029,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,57.3,Fife
S08000029,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,57.6,Fife
S08000029,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,71.9,Fife
S08000029,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,59.7,Fife
S08000029,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,56.3,Fife
S08000030,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,69.9,Tayside
S08000030,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,63.2,Tayside
S08000030,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,68.3,Tayside
S08000030,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,60.8,Tayside
S08000030,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,64.8,Tayside
S08000030,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,56.7,Tayside
S08000030,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,55.3,Tayside
S08000030,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,68.5,Tayside
S08000030,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,57.1,Tayside
S08000031,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,63.2,Greater Glasgow and Clyde
S08000031,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,65.3,Greater Glasgow and Clyde
S08000031,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,58.2,Greater Glasgow and Clyde
S08000031,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,67.1,Greater Glasgow and Clyde
S08000031,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,68.2,Greater Glasgow and Clyde
S08000031,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,42,Greater Glasgow and Clyde
S08000031,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,35.2,Greater Glasgow and Clyde
S08000031,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,54.8,Greater Glasgow and Clyde
S08000031,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,47.4,Greater Glasgow and Clyde
S08000032,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,64.6,Lanarkshire
S08000032,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,67.8,Lanarkshire
S08000032,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,60.8,Lanarkshire
S08000032,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,70.7,Lanarkshire
S08000032,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,66.2,Lanarkshire
S08000032,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,47.4,Lanarkshire
S08000032,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,40.7,Lanarkshire
S08000032,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,52.2,Lanarkshire
S08000032,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,50.2,Lanarkshire
