feature_code,date_code,measurement,units,value,obesity,sex,hb_name,longitude,latitude
S08000017,2015-2018,Percent,Percent Of Adults,37,Obese,Male,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,33,Obese,All,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,67,Not obese,All,Dumfries and Galloway,-3.6053,55.0701
S08000017,2015-2018,Percent,Percent Of Adults,65,Not obese,All,Dumfries and Galloway,-3.6053,55.0701
S08000017,2015-2018,Percent,Percent Of Adults,35,Obese,All,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,32,Obese,Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,34,Obese,Male,Dumfries and Galloway,-3.6053,55.0701
S08000017,2015-2018,Percent,Percent Of Adults,63,Not obese,Male,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,66,Not obese,Male,Dumfries and Galloway,-3.6053,55.0701
S08000017,2015-2018,Percent,Percent Of Adults,33,Obese,Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2015-2018,Percent,Percent Of Adults,67,Not obese,Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,68,Not obese,Female,Dumfries and Galloway,-3.6053,55.0701
S08000019,2015-2018,Percent,Percent Of Adults,35,Obese,Female,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,71,Not obese,Male,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,71,Not obese,Male,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,34,Obese,Female,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,29,Obese,Male,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,66,Not obese,Female,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,65,Not obese,Female,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,29,Obese,Male,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,69,Not obese,All,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,68,Not obese,All,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,32,Obese,All,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,31,Obese,All,Forth Valley,-3.8477,56.0254
S08000020,2015-2018,Percent,Percent Of Adults,29,Obese,All,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,29,Obese,Female,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,30,Obese,Female,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,72,Not obese,Male,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,71,Not obese,All,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,72,Not obese,Male,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,29,Obese,All,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,70,Not obese,Female,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,71,Not obese,Female,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,71,Not obese,All,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,28,Obese,Male,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,28,Obese,Male,Grampian,-4,56.9166667
S08000022,2015-2018,Percent,Percent Of Adults,26,Obese,All,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,74,Not obese,All,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,30,Obese,Female,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,23,Obese,Male,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,28,Obese,All,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,70,Not obese,Female,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,77,Not obese,Male,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,31,Obese,Female,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,26,Obese,Male,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,72,Not obese,All,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,69,Not obese,Female,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,74,Not obese,Male,Highland,-4.2264,57.4596
S08000024,2016-2019,Percent,Percent Of Adults,24,Obese,All,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,77,Not obese,Male,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,24,Obese,All,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,23,Obese,Male,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,76,Not obese,All,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,75,Not obese,Female,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,75,Not obese,Female,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,25,Obese,Female,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,25,Obese,Female,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,23,Obese,Male,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,76,Not obese,All,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,77,Not obese,Male,Lothian,-3.2121,55.9484
S08000025,2015-2018,Percent,Percent Of Adults,69,Not obese,All,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,33,Obese,Female,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,31,Obese,Male,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,33,Obese,All,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,67,Not obese,Male,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,68,Not obese,Female,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,67,Not obese,All,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,31,Obese,All,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,69,Not obese,Male,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,33,Obese,Male,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,67,Not obese,Female,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,32,Obese,Female,Orkney,-2.9605,58.9809
S08000026,2015-2018,Percent,Percent Of Adults,62,Not obese,All,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,33,Obese,Male,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,34,Obese,All,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,66,Not obese,All,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,67,Not obese,Male,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,65,Not obese,Female,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,62,Not obese,Male,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,62,Not obese,Female,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,38,Obese,Female,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,35,Obese,Female,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,38,Obese,Male,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,38,Obese,All,Shetland,-1.2659,60.5297
S08000028,2015-2018,Percent,Percent Of Adults,33,Obese,Female,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,67,Not obese,Female,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,29,Obese,Female,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,71,Not obese,Male,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,31,Obese,All,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,71,Not obese,Female,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,74,Not obese,Male,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,69,Not obese,All,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,28,Obese,All,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,29,Obese,Male,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,72,Not obese,All,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,26,Obese,Male,Western Isles,-7.0194,57.7599
S08000029,2015-2018,Percent,Percent Of Adults,31,Obese,Male,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,66,Not obese,Female,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,71,Not obese,Male,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,68,Not obese,Female,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,69,Not obese,All,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,69,Not obese,Male,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,34,Obese,Female,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,32,Obese,Female,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,29,Obese,Male,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,31,Obese,All,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,68,Not obese,All,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,32,Obese,All,Fife,-3.1495,56.2082
S08000030,2015-2018,Percent,Percent Of Adults,27,Obese,Male,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,72,Not obese,Female,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,27,Obese,Male,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,28,Obese,Female,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,27,Obese,All,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,73,Not obese,All,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,73,Not obese,Male,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,27,Obese,All,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,73,Not obese,Male,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,73,Not obese,All,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,73,Not obese,Female,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,27,Obese,Female,Tayside,-3.0331,56.4643
S08000031,2015-2018,Percent,Percent Of Adults,72,Not obese,All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,28,Obese,All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,72,Not obese,All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,29,Obese,Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,28,Obese,All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,29,Obese,Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,73,Not obese,Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,71,Not obese,Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,27,Obese,Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,27,Obese,Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,73,Not obese,Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,71,Not obese,Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000032,2015-2018,Percent,Percent Of Adults,32,Obese,All,Lanarkshire,-3.782,55.6736
S08000032,2015-2018,Percent,Percent Of Adults,66,Not obese,Male,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,70,Not obese,Female,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,34,Obese,Male,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,30,Obese,Female,Lanarkshire,-3.782,55.6736
S08000032,2015-2018,Percent,Percent Of Adults,31,Obese,Female,Lanarkshire,-3.782,55.6736
S08000032,2015-2018,Percent,Percent Of Adults,69,Not obese,Female,Lanarkshire,-3.782,55.6736
S08000032,2015-2018,Percent,Percent Of Adults,68,Not obese,All,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,32,Obese,All,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,66,Not obese,Male,Lanarkshire,-3.782,55.6736
S08000032,2015-2018,Percent,Percent Of Adults,34,Obese,Male,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,68,Not obese,All,Lanarkshire,-3.782,55.6736
